#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Decisions
dwcm_hucow_milking;Milk yourself;Se traire;;;;;;;;;;;;x
DWCMHucow020_desc;It's been awhile since you have not been milked. Your breasts are so full of milk that it leaks on a regular basis. As a result, your clothes are often stained, to the point that you have to leave to your quarters to change. This of course has an impact on your reputation, not to mention the inconvenience that a breast of this size can cause.;Cela fait quelque temps que vous ne vous êtes pas trait. Vos seins sont tellement remplis de lait qu’il s’en écoule de façon régulière. Il en résulte que vos vêtements s’en retrouvent souvent tachés, au point que vous deviez souvent vous retirer dans vos appartements. Cela a bien sûr un impact sur votre réputation, sans compter les inconvénients qu’une poitrine de cette taille peut engendrer.;;;;;;;;;;;;x
DWCMHucow020A;I should probably milk them soon;Il faudrait que je pense à les traire;;;;;;;;;;;;x
dwcm_lacteria_research_title;The mystery of "Lacteria Mirifica";Le mystère du "Lacteria Mirifica";;;;;;;;;;;;x
DWCMHucow100_desc;You recently got your hands on a mushroom called "Lacteria Mirifica". The woman who gave it to you said it can have potent effects on the body. Some research would be necessary in order to learn more about these said effects.;Vous avez récemment mis la main sur un champignon appelé "Lacteria Mirifica". La femme qui vous l'a donné a dit qu'il pouvait avoir des effets puissants sur le corps. Des recherches supplémentaires seront nécessaires pour en savoir plus sur ces effets.;;;;;;;;;;;;x
DWCMHucow100A;I shall discover more about this mysterious mushroom;J'en découvrirais plus à propos de ce mystérieux champignon;;;;;;;;;;;;x
DWCMHucow100B;Maybe another time;Peut-être une autre fois;;;;;;;;;;;;x
DWCMHucow100C;No, I have no time to waste with this;Non, je n'ai pas de temps à perdre avec ça;;;;;;;;;;;;x
DWCMHucow110_desc;After several months of research on Lacteria Mirifica, you come to the conclusion that it should indeed have quite powerful effects on the body, although probably not permanent. Now, if only you could know what these effects might be ... Maybe eating a little bit of it could be a good way to find out?;Après plusieurs mois de recherche sur la Lacteria Mirifica, vous en venez à la conclusion que celle-ci devrait en effet avoir des effets assez puissants sur le corps, bien que probablement non permanent. Maintenant, si seulement vous pouviez savoir ce que ces effets pourraient être… Peut-être qu'en manger un petit peu pourrait-être un bon moyen de le savoir ?;;;;;;;;;;;;x
DWCMHucow110A;What could possibly go wrong? Let's do it!;Ça n'a pas l'air très risqué. Autant se lancer!;;;;;;;;;;;;x
DWCMHucow110B;hmm, maybe I should test it on someone else;hmm, je devrais le tester sur quelqu'un d'autre;;;;;;;;;;;;x
DWCMHucow110C;I will do that later;Je ferai ça ça plus tard;;;;;;;;;;;;x
DWCMHucow120_desc;You decide to eat some Lacteria Mirifica in order to test its effects. It unfortunately doesn't look really tasty, so you grab some yogurt from the kitchen and mix it with some of the mushroom you have grinded into powder. You then go to relax in your laboratory for the rest of the morning, reading some books, doing some light dusting... when suddenly, after a few hours without any notable effect, you start to feel a strange sensation into your breasts. They are getting warmer, and bigger and your mind is getting fuzzy as some milk starts to leak from your nipples. You absentmindedly press on your breast, until the flow stop, leaving you confused, and somewhat horny.;Vous décidez de manger un peu de Lacteria Mirifica afin d'en tester ses effets. Malheureusement, cela n'a pas vraiment l'air très bon, vous prenez alors un yaourt dans la cuisine et le mélangez avec le champignon que vous avez réduit en poudre. Vous allez ensuite vous détendre dans votre laboratoire pour le reste de la matinée, en lisant des livres, en époussetant légèrement les meubles… lorsque soudain, après quelques heures sans aucun effet notable, vous commencez à ressentir une sensation étrange dans vos seins. Ils deviennent de plus en plus chauds et gros, et votre esprit devient brumeux alors que du lait commence à s'écouler de vos mamelons. Vous appuyez distraitement sur votre poitrine, jusqu'à ce que le flux s'arrête, vous laissant confuse et un peu excitée.;;;;;;;;;;;;x
DWCMHucow120A;Well, that was interesting, and quite enjoyable;Eh bien, c'était intéressant, et plutôt agréable;;;;;;;;;;;;x
DWCMHucow130_desc;You managed to convince [dwcm_lacteria_test_subject.GetFirstName] to help you in your researches. You grind some Lacteria Mirifica into powder and mix it with some yogurt. You hand it over to her and as she eats it, you explain to her that you are going to monitor the effects it has on her body, and that she has to let you know of anything she is feeling. You spend the next hours in your laboratory, talking, and taking notes. Eventually, you see her blushing as she tells you she is feeling a warm sensation in her chest. You kindly ask her to remove her top. She reluctantly accepts and as she expose her breast, you can already tell that there is some milk leaking from her nipples. It doesn't take long until you can also notice her breasts expanding, gaining a couple cups. She can't help but press on her breasts, helping the milk out until the flow eventually dries out. You excitedly ask her about everything she has felt, as well as taking notes of your own observations. You finally thank her and let her go.;Vous avez réussi à convaincre [dwcm_lacteria_test_subject.GetFirstName] de vous aider dans vos recherches. Vous réduisez en poudre un peu de Lacteria Mirifica avant de le mélanger à du yaourt. Vous le lui tendez le bol, et tandis qu'elle ingère la mixture, vous lui expliquez que vous allez surveiller les effets que cela a sur son corps et qu'elle doit vous informer de tout ce qu'elle ressent. Vous passez les heures suivantes dans votre laboratoire à parler et à prendre des notes. Finalement, vous la voyez rougir tandis qu'elle vous dit ressentir une sensation de chaleur dans sa poitrine. Vous lui demandez gentiment de retirer son haut. Elle accepte à contrecœur et au fur et à mesure qu'elle expose sa poitrine, vous pouvez déjà dire que du lait coule de ses mamelons. Il ne faut pas longtemps pour que vous remarquiez également que ses seins grossissent, gagnant facilement quelques bonnets. Elle ne peut s'empêcher de presser ses seins, favorisant l'écoulement du lait jusqu'à ce que le flux se tarisse. Vous lui demandez ensuite avec enthousiasme tout ce qu’elle a ressenti tout en prenant note de vos propres observations. Vous la remerciez enfin et la laissez partir.;;;;;;;;;;;;x
DWCMHucow130A;Well, now I will have to examine all these data;Eh bien, il va maintenant falloir examiner toutes ces données;;;;;;;;;;;;x
DWCMHucow140_desc;Since the last tests on "Lacteria Mirifica" effects, you got to analyze all the data you have collected so far. You have come to the conclusion that the mushroom have important effects on breasts. It can indeed induce lactation in just a couple hours. And in order to accommodate for such rapid growth, it also seems to improve skin elasticity, as well as softening it. You also noted some light increase of the subject arousal, as well as some confusion.\n Now, it would probably be possible to increase these effects, maybe by making some extract of it, and mixing it with other ingredients?;Depuis les derniers tests sur les effets du "Lacteria Mirifica", vous avez pu analyser toutes les données que vous avez collectées jusqu'à présent. Vous en êtes arrivé à la conclusion que le champignon a des effets importants sur les seins. Il peut en effet induire la lactation en seulement quelques heures. Et pour s'adapter à une croissance aussi rapide, il semble également améliorer l'élasticité de la peau, tout en l'adoucissant. Vous avez également noté une légère augmentation de l'excitation du sujet, ainsi qu'une certaine confusion. \n Maintenant, il serait probablement possible d'augmenter ces effets, peut-être en en faisant un concentré et en le mélangeant avec d'autres ingrédients ?;;;;;;;;;;;;x
DWCMHucow140A;I need to find a way to make it more potent;Je dois trouver un moyen de rendre cela plus puissant;;;;;;;;;;;;x
DWCMHucow140B;I will get back at this later;Je reprendrais ça plus tard;;;;;;;;;;;;x
DWCMHucow140C;There is no point in going further;Il n'y a aucun intérêt à aller plus loin;;;;;;;;;;;;x
DWCMHucow150_desc1;You spent the last week gathering material and ingredients, and feel you are now ready to create a powerful product from the Lacteria Mirifica. You spend all day refining out formulas and preparation protocols. When everything is ready, you start the actual process of extracting the active ingredient from the mushroom. Your laboratory soon starts to be filled with a particular smell, like a mix of milk and forest scent. Once you got some extract, you proceed to mix it with other ingredient that you feel could enhance the effects, especially milk, since you know the mushroom are related to that. You finish by boiling the mixture, and end up with what looks like concentrated and acidic milk. Nothing that could harm an human, but definitely stronger than common milk. You find that "Lactacid" would be a fitting name for this creation of yours. The last thing left to be done, is of course to test it.;Vous avez passé toute la semaine à rassembler le matériel et les ingrédients nécessaire, et vous sentez que vous êtes maintenant prêt à créer un produit plus puissant à partir de Lacteria Mirifica. Vous passez toute la journée à affiner vos formules et les protocoles de préparation. Lorsque tout est prêt, vous démarrez enfin le processus d'extraction de du principe actif du champignon. Votre laboratoire commence bientôt à se remplir d'une odeur particulière, comme un mélange de lait et de senteur de forêt. Une fois que vous avez obtenu un extrait, vous le mélangez avec un autre ingrédient qui, selon vous, pourrait en améliorer les effets, en particulier le lait, puisque vous savez que le champignon est lié à cela. Vous finissez par faire bouillir le mélange et vous vous retrouvez avec ce qui ressemble à du lait concentré et acide. Rien qui puisse nuire à un humain, mais certainement plus fort que le lait ordinaire. Vous trouvez que "Lactacide" serait un nom approprié pour cette création. La dernière chose à faire maintenant est bien sûr de le tester.;;;;;;;;;;;;x
DWCMHucow150_desc2;You finally decide it is time to use the lactacid you created;Vous décidez enfin qu'il est temps d'utiliser le lactacide que vous avez créé;;;;;;;;;;;;x
DWCMHucow150A;Since I am the one who made it, I should drink it;Etant donné que c'est moi qui l'ai fait, je devrais le boire;;;;;;;;;;;;x
DWCMHucow150B;It will be easier to take notes if I'm not the one drinking it;Il sera plus facile de prendre des notes si quelqu'un d'autre le boit;;;;;;;;;;;;x
DWCMHucow150C;I will use it later;Je l'utiliserais plus tard;;;;;;;;;;;;x
DWCMHucow160_desc;You decide to test the lactacid yourself. The effects you observed from the Lacteria Mirifica alone were already incredible, and you can't wait to see what it would be like with a more potent product.\n You slowly drink all of the flacon, expecting a sour taste, but it actually tastes really good, the milk you mixed it with probably helped to mitigate the acid nature of the mixture.\n It doesn't take long before you can already start to feel the first effects. Even if it's happening way quicker than last time, the effects are as expected. Your breasts start to get warmer, and fuller, and some milk are leaking out of your nipples, which are getting stiff from arousal. But, unlike the last time, it doesn't seem to stop. The flow get stronger, and more and more milk is coming out. You press on your breasts, panting and trying to ease the flow, but to no avail. You then pinch your nipples, causing you to moan loudly as a large amount of milk erupts from your breasts, spraying all over the place, before finally calming down. You lay there several minutes, exhausted and in a dazed state.\n\n After coming back to your senses, you realize that your breasts look bigger than they used to, maybe lactacid have permanent effect on the body?;Vous décidez de tester le lactacide vous-même. Les effets que vous avez observés avec le Lacteria Mirifica seul étaient déjà incroyables, et vous êtes impatiente de voir ce qui pourrait se passer avec un produit plus puissant.\n Vous buvez lentement tout le flacon, vous attendant à un goût amer, mais finalement, cela s’avère plutôt bon. Le lait avec lequel vous l'avez mélangé a probablement contribué à atténuer la nature acide du mélange.\n Il ne faut pas longtemps pour que ressentiez les premiers effets. Même si cela se produit beaucoup plus rapidement que la dernière fois, les effets sont ceux attendus. Vos seins commencent à devenir chaud et à se remplir, et du lait s'écoule de vos mamelons, qui deviennent raides à cause de l'excitation. Mais, contrairement à la dernière fois, cela ne semble pas s’arrêter. Le flux devient plus fort et de plus en plus de lait sort. Vous appuyez sur vos seins, tout en haletant et en essayant de faciliter le flux, mais en vain. Vous pincez ensuite vos mamelons, ce qui vous fait gémir bruyamment tandis qu’une grande quantité de lait jaillit de vos seins et se répand partout avant de s’atténuer enfin. Vous restez allongée là, plusieurs minutes, épuisée et hébétée.\n\n Après être revenue à vos sens, vous réalisez que vos seins ont l'air plus gros qu'avant, peut-être que le lactacide a un effet permanent sur le corps?;;;;;;;;;;;;x
DWCMHucow160A;Let's wait a few days, maybe it will go back to normal;Attendons quelques jours, peut-être qu'ils reviendront à la normale;;;;;;;;;;;;x
DWCMHucow170_desc1;It has been a couple weeks, and your breasts are still bigger than they should. You start to think it will probably be permanent.\n You play a little bit with them, thinking that an additional cup size isn't a bad thing after all. But then you feel that they are already somewhat filled with milk, which is definitely weird, they shouldn't have been able to produce milk since you are not pregnant. It seems breast size is not the only thing that have been affected.\n\n It seems you will have to milk yourself often if it keeps going, and, oddly enough, this is something that you start to crave for.;Cela fait plusieurs semaines et vos seins sont toujours plus gros qu’ils ne le devraient. Vous commencez à penser que cela sera probablement permanent.\n Vous jouez un peu avec eux, pensant qu’une taille de bonnet supplémentaire n’est pas une mauvaise chose, après tout. Cependant, vous sentez qu’ils sont déjà un peu remplis de lait, ce qui est plutôt étrange, ils n’auraient pas dû être en mesure de produire du lait étant donné que vous n’êtes pas enceinte. Il semble que la taille des seins n’est pas la seule chose à avoir été touchée.\n\n Il semble que vous allez devoir vous traire souvent si cela continue, et curieusement, c’est quelque chose que vous commencez à désirer ardemment.;;;;;;;;;;;;x
DWCMHucow170_desc2;It has been a couple weeks, and your breasts are still bigger than they should. You start to think it will probably be permanent.\n You play a little bit with them, thinking that an additional cup size isn't a bad thing after all. But then you feel that they are already somewhat filled with milk, which is definitely weird, they shouldn't have been able to produce milk even if you are pregnant, this is just too fast. It seems breast size is not the only thing that have been affected.\n\n It seems you will have to milk yourself often if it keeps going, and, oddly enough, this is something that you start to crave for.;Cela fait plusieurs semaines et vos seins sont toujours plus gros qu’ils ne le devraient. Vous commencez à penser que cela sera probablement permanent.\n Vous jouez un peu avec eux, pensant qu’une taille de bonnet supplémentaire n’est pas une mauvaise chose, après tout. Cependant, vous sentez qu’ils sont déjà un peu remplis de lait, ce qui est plutôt étrange, ils n’auraient pas dû être en mesure de produire autant de lait, si rapidement, même en étant enceinte. Il semble que la taille des seins n’est pas la seule chose à avoir été touchée.\n\n Il semble que vous allez devoir vous traire souvent si cela continue, et curieusement, c’est quelque chose que vous commencez à désirer ardemment.;;;;;;;;;;;;x
DWCMHucow170A;Not sure if I should be happy, or worried;Dois-je m'en réjouir, ou m'en inquiéter ?;;;;;;;;;;;;x
DWCMHucow180_desc;You summon [dwcm_lacteria_test_subject.GetFirstName] to your laboratory, and convince her to test the lactacid for you. The effects you observed from the Lacteria Mirifica alone were already incredible, and you can't wait to see what it would be like with a more potent product.\n You take your notes, and invite her to drink the flacon. She execute, and smiles as she compliments you on the taste. The milk you mixed it with probably helped to mitigate the acid nature of the mixture.\n It doesn't take long before you can already see the first effects. Even if it's happening way quicker than last time, the effects are as expected. Her breasts start to get fuller, and some milk are leaking out of her nipples, which are getting stiff from arousal. But, unlike the last time, it doesn't seem to stop. The flow get stronger, and more and more milk is coming out. She presses on her breasts, panting as she tries to ease the flow, but to no avail. She then pinches her nipples, causing her to moan loudly as a large amount of milk erupts from her breasts, spraying all over the place, before finally calming down. She lays there several minutes, exhausted and in a dazed state as you finish taking some notes.\n\n After she came back to her senses, you realize that her breasts look bigger than they used to, maybe lactacid have permanent effect on the body?;Vous appelez [dwcm_lacteria_test_subject.GetFirstName] dans votre laboratoire et la convainquez de tester le lactacide pour vous. Les effets que vous avez observés avec le Lacteria Mirifica seul étaient déjà incroyables, et vous êtes impatient[Root.GetNoneE] de voir ce qui pourrait se passer avec un produit plus puissant.\n Vous prenez vos notes et l'invitez à boire le flacon. Elle s’exécute puis sourit en vous complimentant sur le goût. Le lait avec lequel vous l'avez mélangé a probablement contribué à atténuer la nature acide du mélange.\n Il ne faut pas longtemps avant que vous puissiez déjà voir les premiers effets. Même si cela se produit beaucoup plus rapidement que la dernière fois, les effets sont ceux attendus. Ses seins commencent à se remplir et du lait coule de ses mamelons, qui deviennent raides à cause de l'excitation. Mais, contrairement à la dernière fois, cela ne semble pas s’arrêter. Le flux devient plus fort et de plus en plus de lait en sort. Elle presse ses seins, haletant alors qu'elle tente de faciliter le flux, mais en vain. Elle se pince ensuite les mamelons, ce qui la fait gémir bruyamment alors qu’une grande quantité de lait jaillit de ses seins et se répand partout avant de s’atténuer enfin. Elle reste allongée plusieurs minutes, épuisée et hébétée, tandis que vous continuez à prendre quelques notes.\n\n Une fois revenue à elle, vous réalisez que ses seins paraissent plus gros qu’avant. Le lactacid aurait-t-il des effets permanents sur le corps ?;;;;;;;;;;;;x
DWCMHucow180A;Let's wait a few days, maybe it will go back to normal;Attendons quelques jours, peut-être qu'ils reviendront à la normale;;;;;;;;;;;;x
DWCMHucow190_desc;It has been a couple weeks, and [dwcm_lacteria_test_subject.GetFirstName]'s breasts are still bigger than they should. You start to think it will probably be permanent.\n Well, she probably won't mind an additional cup size after all. But then she tells you that they seem somewhat already filled with milk, which is definitely weird, they shouldn't have been able to produce milk so quickly. It seems breast size is not the only thing that have been affected.\n\n She will probably have to milk herself often if it keeps going, but oddly enough, this is not something that she seems to be bothered about.;Cela fait plusieurs semaines et les seins de [dwcm_lacteria_test_subject.GetFirstName] sont toujours plus gros qu’ils ne le devraient. Vous commencez à penser que cela sera probablement permanent.\n Mais après tout, une taille de bonnet supplémentaire n’est pas une mauvaise chose. Cependant, elle vous fait ensuite savoir qu’ils semblent déjà un peu remplis de lait, ce qui est plutôt étrange, ils n’auraient pas dû être en mesure de produire autant du lait. Il semble que la taille des seins n’est pas la seule chose à avoir été touchée.\n\n Il semble qu’elle doivent se traire souvent si cela continue, mais curieusement, cette perspective n’a pas l’air de la gêner plus que ça.;;;;;;;;;;;;x
DWCMHucow190A;I should keep an eye on her;Je devrais garder un œil sur elle;;;;;;;;;;;;x
